,AutoEncoder (AE),CBLOF,COPOD,DeepAnT,DenoisingAutoEncoder (DAE),HBOS,Hybrid KNN,LOF,PCC,RobustPCA,Random Black Forest (RR),Torsk
OBSEA/2020-02-21.out,0.9586395833333332,0.9804997685185184,0.9187116898148148,0.9243544081489288,0.9580570601851852,0.5455258101851852,0.7413046296296296,0.999,0.998876736111111,0.5959509259259259,0.8478070024570025,0.8422142292490119
OBSEA/2022-05-30.out,0.9854364205401646,0.9845270661875506,0.9175216181754956,0.9235712945590996,0.990451489509679,0.5875809667323518,0.7409612843398633,0.998991654109192,0.9550372087631854,0.6985277616784514,0.927573520364218,0.8455739738682855
OBSEA/2023-07-27.out,0.1274775276984689,0.1988528920755246,0.153693803993329,0.1514191704842394,0.1166993825583316,0.1794319537191957,0.0986066774567402,0.1988528920755246,0.1370163241730607,0.166368120382517,0.1134189660378668,0.2794840031085946
OBSEA/2023-04-15.out,0.0008594172460677,0.0023990072192734,0.0006390825752572,0.0008621124084906,0.0008584834483364,0.0010608323444372,0.0009446174582683,0.0023990072192734,0.0008161879357792,0.0006561812714621,0.0019046209765891,0.4126604133507232
OBSEA/2023-02-10.out,0.9221486980087192,0.9858131259573464,0.9180624484505714,0.2567920348768705,0.9470481913514788,0.575629904559915,0.7411567102627548,0.9989967008365735,0.9949713679745492,0.6868024036762107,0.832183297859021,0.8837556810541884
OBSEA/2023-03-13.out,0.98633400450077,0.9800589837735402,0.9209187492597418,0.2566225275376051,0.9686609025228,0.5286574677247423,0.7410632476607841,0.9989972758498163,0.9949658889020492,0.6679586639819969,0.8302448696965883,0.999
OBSEA/2022-05-02.out,0.9932642361111113,0.9842854166666666,0.9174164351851852,0.9278948600866408,0.9738856481481482,0.5346924768518517,0.7415931712962963,0.9989916666666668,0.955524537037037,0.6755822916666667,0.8320547453703704,0.8453110671936759
OBSEA/2020-09-11.out,0.9665152777777778,0.9841141203703704,0.9173491898148148,0.9386952347500293,0.9751319444444444,0.5733053240740741,0.7409447916666667,0.999,0.981459375,0.5343888888888889,0.929683538083538,0.7897422924901185
OBSEA/2022-12-23.out,0.9621424028268551,0.9863570082449942,0.9183633686690222,0.9166999165772852,0.8643624263839811,0.5828822143698469,0.7414871613663133,0.9989864546525324,0.9743517078916372,0.6597345111896349,0.8514251564455569,0.8136518817204301
OBSEA/2021-01-16.out,0.5552417704204244,0.5301751191607348,0.5884834438621482,0.4812073099227276,0.5723541988102168,0.5387737717285939,0.4925436804991073,0.4562553208948458,0.568126274262418,0.4109485393390039,0.5040611155879886,0.7801877533971063
OBSEA/2023-07-25.out,0.0752964134465099,0.1543136644442869,0.2228029624869577,0.1043258959340732,0.087128297496304,0.1137719654971443,0.1034781388113466,0.1367778150768437,0.1626501795145961,0.2479097171472222,0.1060729915573303,0.5527090694935218
OBSEA/2020-01-04.out,0.7771882129696528,0.3524395340722432,0.6332512927068639,0.3184575803261107,0.7813492934182276,0.5410566453071644,0.2337205833175086,0.2601724097644432,0.7402040038954023,0.1373047551362009,0.7160177260200858,0.335824874794738
OBSEA/2022-12-29.out,0.9720718492343934,0.9820886925795052,0.9186388692579506,0.9318213562149922,0.956409187279152,0.5235382803297997,0.7414381625441696,0.998991519434629,0.9982905771495878,0.7011604240282686,0.8940732165206509,0.8627432795698926
OBSEA/2022-12-24.out,0.9889401648998822,0.9831790341578328,0.9185751472320376,0.9302340603027052,0.9470744405182568,0.5544009422850412,0.7412627797408715,0.9989797408716136,0.9659075382803298,0.7338475853945818,0.8830147684605756,0.7766198924731181
OBSEA/2021-09-10.out,0.0199776081155008,0.3551549808765709,0.0618114760399114,0.0551609209379343,0.0195298696306166,0.1235728628049585,0.0282572278283711,0.1174177323568747,0.3171588242397638,0.0697657661534122,0.0211849333010547,0.348559785032916
OBSEA/2020-10-31.out,0.4167100421589143,0.3026612727768916,0.2546780839155669,0.332009780212297,0.4404539627278337,0.3005623159043588,0.6188298344155694,0.3026612727768916,0.3212090138831363,0.1327350675734097,0.2186516440003408,0.376758570924577
